DateTime,LocationID,Humidity,Pressure,Cloudiness
4/11/2025 0:00,410,83,1009,56
4/11/2025 0:00,411,83,1009,56
4/12/2025 0:00,412,83,1010,28
4/12/2025 0:00,413,83,1010,28
4/13/2025 0:00,414,85,1010,38
4/13/2025 0:00,415,85,1010,38
4/14/2025 0:00,416,85,1010,3
4/14/2025 0:00,417,85,1010,3
4/15/2025 0:00,418,78,1009,8
4/15/2025 0:00,419,78,1009,8
4/16/2025 0:00,420,78,1010,52
4/11/2025 3:00,421,68,1011,13
4/11/2025 3:00,422,68,1011,13
4/12/2025 3:00,423,65,1012,15
4/12/2025 3:00,424,65,1012,15
4/13/2025 3:00,425,65,1011,60
4/13/2025 3:00,426,65,1011,60
4/14/2025 3:00,427,63,1011,5
4/14/2025 3:00,428,63,1011,5
4/15/2025 3:00,429,59,1010,6
4/15/2025 3:00,430,59,1010,6
4/16/2025 3:00,431,65,1011,49
4/11/2025 6:00,432,46,1009,27
4/11/2025 6:00,433,46,1009,27
4/12/2025 6:00,434,46,1011,31
4/12/2025 6:00,435,46,1011,31
4/13/2025 6:00,436,49,1010,78
4/13/2025 6:00,437,49,1010,78
4/14/2025 6:00,438,44,1009,4
4/14/2025 6:00,439,44,1009,4
4/15/2025 6:00,440,41,1009,6
4/15/2025 6:00,441,41,1009,6
4/11/2025 9:00,442,40,1005,8
4/11/2025 9:00,443,40,1005,8
4/12/2025 9:00,444,40,1007,11
4/12/2025 9:00,445,40,1007,11
4/13/2025 9:00,446,34,1007,83
4/13/2025 9:00,447,34,1007,83
4/14/2025 9:00,448,34,1005,2
4/14/2025 9:00,449,34,1005,2
4/15/2025 9:00,450,33,1005,26
4/15/2025 9:00,451,33,1005,26
4/11/2025 12:00,452,50,1005,24
4/11/2025 12:00,453,50,1005,24
4/12/2025 12:00,454,55,1007,8
4/12/2025 12:00,455,55,1007,8
4/13/2025 12:00,456,39,1006,61
4/13/2025 12:00,457,39,1006,61
4/14/2025 12:00,458,55,1006,6
4/14/2025 12:00,459,55,1006,6
4/15/2025 12:00,460,59,1006,50
4/15/2025 12:00,461,59,1006,50
4/10/2025 15:00,462,63,1007,97
4/11/2025 15:00,463,75,1008,36
4/11/2025 15:00,464,75,1008,36
4/12/2025 15:00,465,76,1010,5
4/12/2025 15:00,466,76,1010,5
4/13/2025 15:00,467,70,1009,4
4/13/2025 15:00,468,70,1009,4
4/14/2025 15:00,469,74,1009,64
4/14/2025 15:00,470,74,1009,64
4/15/2025 15:00,471,76,1009,74
4/10/2025 18:00,472,74,1009,97
4/10/2025 18:00,473,78,1009,99
4/11/2025 18:00,474,83,1010,33
4/11/2025 18:00,475,83,1010,33
4/12/2025 18:00,476,82,1011,7
4/12/2025 18:00,477,82,1011,7
4/13/2025 18:00,478,80,1010,4
4/13/2025 18:00,479,80,1010,4
4/14/2025 18:00,480,80,1010,31
4/14/2025 18:00,481,80,1010,31
4/15/2025 18:00,482,73,1010,43
4/10/2025 21:00,483,83,1008,99
4/10/2025 21:00,484,81,1008,99
4/11/2025 21:00,485,82,1009,49
4/11/2025 21:00,486,82,1009,49
4/12/2025 21:00,487,82,1009,32
4/12/2025 21:00,488,82,1009,32
4/13/2025 21:00,489,84,1008,2
4/13/2025 21:00,490,84,1008,2
4/14/2025 21:00,491,81,1008,10
4/14/2025 21:00,492,81,1008,10
4/15/2025 21:00,493,74,1008,43
4/16/2025 6:00,494,46,1011,0
4/16/2025 9:00,495,32,1007,19
4/16/2025 12:00,496,56,1007,59
4/16/2025 15:00,497,67,1010,64
4/16/2025 18:00,498,77,1011,84
4/16/2025 21:00,499,84,1009,37
4/17/2025 0:00,500,88,1010,23
4/17/2025 3:00,501,69,1011,7
4/17/2025 6:00,502,47,1010,7
4/17/2025 9:00,503,36,1006,63
4/17/2025 12:00,504,55,1006,59
4/17/2025 15:00,505,75,1008,4
4/17/2025 18:00,506,82,1009,6
4/17/2025 21:00,507,87,1008,30
4/18/2025 0:00,508,86,1009,23
4/18/2025 3:00,509,67,1010,11
4/18/2025 6:00,510,46,1009,33
4/18/2025 9:00,511,40,1005,10
4/18/2025 12:00,512,54,1005,9
4/18/2025 15:00,513,74,1008,24
4/18/2025 18:00,514,81,1008,14
4/18/2025 21:00,515,86,1006,3
4/19/2025 0:00,516,85,1008,7
4/19/2025 3:00,517,61,1010,8
4/19/2025 6:00,518,44,1009,8
4/19/2025 9:00,519,36,1005,29
4/19/2025 12:00,520,46,1005,26
4/19/2025 15:00,521,70,1007,16
4/19/2025 18:00,522,83,1008,15
4/19/2025 21:00,523,85,1007,21
4/20/2025 0:00,524,85,1008,23
4/20/2025 3:00,525,64,1010,38
4/20/2025 6:00,526,43,1009,29
4/20/2025 9:00,527,34,1005,92
4/20/2025 12:00,528,50,1005,96
4/20/2025 15:00,529,72,1008,9
4/20/2025 18:00,530,80,1010,45
4/20/2025 21:00,531,81,1007,98
4/21/2025 0:00,532,82,1008,100
4/21/2025 3:00,533,64,1011,45
4/21/2025 6:00,534,43,1009,26
4/23/2025 15:00,535,80,1009,9
4/23/2025 18:00,536,81,1009,10
4/23/2025 21:00,537,83,1007,1
4/24/2025 0:00,538,81,1008,9
4/24/2025 3:00,539,61,1010,99
4/24/2025 15:00,540,79,1008,37
4/24/2025 18:00,541,84,1009,41
4/24/2025 21:00,542,88,1007,16
4/25/2025 0:00,543,87,1008,24
4/25/2025 3:00,544,66,1010,71
4/25/2025 6:00,545,44,1008,80
4/21/2025 9:00,546,31,1005,99
4/21/2025 12:00,547,41,1005,81
4/21/2025 15:00,548,73,1009,80
4/21/2025 18:00,549,83,1011,68
4/21/2025 21:00,550,84,1009,15
4/22/2025 0:00,551,77,1010,11
4/22/2025 3:00,552,64,1012,3
4/22/2025 6:00,553,44,1009,8
4/22/2025 9:00,554,31,1006,61
4/22/2025 12:00,555,56,1008,72
4/22/2025 15:00,556,65,1010,100
4/22/2025 18:00,557,75,1012,100
4/22/2025 21:00,558,80,1009,100
4/23/2025 0:00,559,85,1010,100
4/23/2025 3:00,560,66,1011,96
4/23/2025 6:00,561,45,1010,98
4/23/2025 9:00,562,42,1007,100
4/23/2025 12:00,563,56,1007,30
4/24/2025 6:00,564,45,1009,81
4/24/2025 9:00,565,38,1005,76
4/24/2025 12:00,566,55,1005,85
4/25/2025 9:00,567,30,1005,82
4/25/2025 12:00,568,55,1005,17
4/25/2025 15:00,569,72,1009,4
4/25/2025 18:00,570,80,1009,4
4/25/2025 21:00,571,86,1008,19
4/26/2025 0:00,572,85,1009,17
4/26/2025 3:00,573,65,1011,26
4/26/2025 6:00,574,42,1009,64
4/26/2025 9:00,575,28,1005,62
4/26/2025 12:00,576,52,1005,52
4/26/2025 15:00,577,75,1009,32
4/26/2025 18:00,578,81,1010,59
4/26/2025 21:00,579,84,1008,98
4/27/2025 0:00,580,85,1009,98
4/27/2025 3:00,581,62,1011,94
4/27/2025 6:00,582,43,1009,97
4/27/2025 9:00,583,28,1006,100
4/27/2025 12:00,584,48,1006,100
4/27/2025 15:00,585,72,1009,100
4/27/2025 18:00,586,82,1010,86
4/27/2025 21:00,587,84,1008,96
4/28/2025 3:00,588,64,1011,96
4/28/2025 0:00,589,86,1009,98
4/30/2025 21:00,590,85,1009,36
5/1/2025 0:00,591,78,1009,93
5/1/2025 15:00,592,71,1011,100
5/1/2025 3:00,593,65,1011,61
5/1/2025 6:00,594,45,1010,39
5/1/2025 9:00,595,37,1006,6
5/1/2025 12:00,596,76,1008,20
4/28/2025 6:00,597,42,1009,100
4/28/2025 9:00,598,27,1005,88
4/28/2025 12:00,599,44,1005,60
4/28/2025 15:00,600,70,1008,85
4/28/2025 18:00,601,78,1009,56
4/28/2025 21:00,602,78,1007,99
4/29/2025 0:00,603,84,1008,98
4/29/2025 3:00,604,62,1010,16
4/29/2025 6:00,605,40,1008,17
4/29/2025 9:00,606,28,1004,39
4/29/2025 12:00,607,54,1005,64
4/29/2025 15:00,608,74,1009,100
4/29/2025 18:00,609,80,1011,100
4/29/2025 21:00,610,78,1007,100
4/30/2025 0:00,611,74,1008,100
4/30/2025 3:00,612,64,1011,100
4/30/2025 6:00,613,56,1010,100
4/30/2025 9:00,614,43,1007,97
4/30/2025 12:00,615,57,1007,99
4/30/2025 15:00,616,76,1009,46
4/30/2025 18:00,617,83,1010,55
5/2/2025 6:00,618,47,1011,68
5/1/2025 18:00,619,68,1010,100
5/1/2025 21:00,620,77,1008,100
5/2/2025 0:00,621,80,1009,100
5/2/2025 3:00,622,68,1012,100
5/2/2025 9:00,623,42,1007,14
